wait,correctSequence,userInput
0.5,"['47' '19' '81' '42' '27' '86' '40' '92' '58' '49' '56' '98' '89' '66'
 '80' '25' '23' '67' '91' '85']","['25' '23' '81' '47' '49' '27' '33' '81' '85' '94' '34' '12' '65' '53'
 '76' '14' '82' '86' '43' '74']"
0.5,"['51' '64' '75' '80' '25' '27' '72' '28' '59' '97' '85' '78' '30' '60'
 '40' '57' '88' '14' '45' '49']","['14' '45' '49' '88' '75' '70' '14' '28' '56' '34' '67' '34' '35' '87'
 '23' '93' '14' '43' '65' '34']"
0.5,"['76' '14' '60' '88' '37' '77' '90' '64' '99' '89' '72' '85' '87' '17'
 '48' '41' '66' '31' '70' '75']","['41' '70' '76' '14' '60' '76' '34' '21' '54' '76' '94' '27' '15' '65'
 '69' '43' '45' '88' '81' '34']"
0.5,"['94' '61' '50' '95' '80' '49' '64' '23' '99' '24' '66' '13' '27' '55'
 '91' '30' '16' '34' '37' '35']","['37' '35' '94' '95' '91' '90' '64' '61' '65' '35' '83' '24' '58' '11'
 '32' '54' '95' '28' '43' '73']"
1.0,"['67' '96' '28' '95' '42' '73' '74' '83' '66' '82' '20' '47' '32' '62'
 '85' '54' '70' '41' '52' '33']","['52' '33' '96' '97' '86' '82' '72' '71' '45' '56' '23' '95' '57' '34'
 '86' '17' '38' '53' '52' '95']"
1.0,"['35' '85' '12' '32' '97' '33' '63' '14' '13' '53' '59' '28' '29' '96'
 '22' '45' '82' '75' '65' '74']","['74' '75' '76' '35' '34' '65' '12' '34' '15' '43' '65' '86' '94' '23'
 '43' '75' '28' '34' '27' '32']"
1.0,"['18' '55' '47' '36' '73' '51' '37' '12' '42' '63' '44' '22' '30' '19'
 '14' '41' '27' '35' '61' '86']","['61' '86' '14' '19' '18' '27' '25' '47' '46' '45' '69' '13' '54' '73'
 '82' '43' '26' '92' '94' '54']"
1.0,"['66' '19' '36' '37' '28' '47' '27' '79' '11' '67' '33' '83' '17' '48'
 '61' '18' '50' '63' '69' '10']","['10' '69' '63' '67' '18' '19' '32' '17' '65' '34' '59' '13' '54' '96'
 '36' '66' '95' '84' '13' '48']"
1.5,"['19' '43' '63' '87' '22' '73' '75' '88' '61' '48' '23' '86' '74' '33'
 '35' '70' '72' '36' '20' '93']","['36' '20' '93' '19' '43' '23' '70' '72' '63' '83' '75' '15' '63' '93'
 '28' '91' '85' '32' '51' '65']"
1.5,"['76' '13' '53' '25' '15' '93' '39' '99' '73' '74' '35' '87' '43' '45'
 '56' '83' '36' '17' '31' '82']","['31' '17' '82' '37' '27' '73' '93' '99' '91' '35' '75' '18' '91' '27'
 '23' '82' '14' '25' '33' '73']"
1.5,"['61' '50' '68' '38' '21' '13' '94' '98' '24' '10' '66' '88' '63' '71'
 '30' '34' '41' '86' '52' '20']","['20' '24' '94' '61' '90' '66' '88' '63' '17' '83' '53' '29' '34' '65'
 '38' '95' '38' '23' '43' '11']"
1.5,"['74' '24' '62' '56' '48' '57' '72' '86' '87' '61' '51' '97' '83' '28'
 '60' '42' '67' '66' '65' '49']","['49' '67' '65' '66' '72' '74' '51' '72' '83' '43' '65' '25' '58' '12'
 '43' '54' '76' '91' '94' '76']"
2.5,"['68' '14' '55' '56' '98' '51' '36' '45' '92' '53' '95' '64' '49' '25'
 '91' '89' '23' '22' '71' '81']","['71' '81' '2' '22' '68' '14' '52' '72' '98' '91' '88' '52' '65' '38' '47'
 '53' '42' '73' '74' '61']"
2.5,"['97' '79' '33' '49' '47' '13' '99' '40' '29' '60' '80' '89' '20' '14'
 '42' '71' '12' '77' '35' '96']","['77' '35' '96' '97' '79' '33' '99' '49' '56' '43' '21' '83' '54' '67'
 '34' '95' '27' '34' '54' '84']"
2.5,"['18' '72' '29' '75' '54' '65' '87' '98' '84' '57' '35' '38' '69' '27'
 '91' '93' '14' '81' '41' '30']","['81' '41' '30' '14' '57' '89' '27' '35' '17' '19' '37' '84' '27' '57'
 '59' '94' '84' '37' '45' '43']"
2.5,"['25' '39' '97' '55' '84' '82' '87' '44' '92' '72' '22' '59' '51' '83'
 '60' '49' '54' '30' '12' '64']","['30' '12' '64' '59' '49' '25' '55' '82' '72' '84' '24' '92' '88' '84'
 '97' '63' '24' '12' '47' '74']"
