wait,correctSequence,userInput
1,"['59' '31' '21' '28' '68' '98' '79' '54' '27' '69' '87' '78' '50' '17'
 '63' '81' '19' '46' '24' '32']","['46', '24', '32', '51', '31', '61']"
1,"['14' '78' '71' '43' '94' '75' '96' '57' '30' '79' '45' '87' '65' '38'
 '21' '93' '42' '98' '26' '63']","['63', '91', '96', '14', '95', '63', '54']"
1,"['83' '21' '75' '89' '14' '65' '29' '41' '33' '63' '71' '30' '39' '34'
 '86' '80' '70' '32' '98' '10']","['32', '98', '19', '10', '83']"
1,"['82' '17' '92' '32' '21' '79' '83' '98' '71' '34' '59' '50' '47' '94'
 '74' '75' '85' '78' '29' '26']","['29', '26', '72', '71', '75', '85', '65', '22', '21', '29', '32']"
1,"['13' '25' '86' '57' '89' '14' '49' '46' '93' '16' '23' '67' '66' '60'
 '35' '69' '39' '20' '68' '71']","['13', '69', '71', '68', '51', '27', '81', '82', '25', '74']"
1,"['94' '44' '37' '35' '45' '14' '23' '84' '30' '11' '39' '79' '40' '12'
 '77' '97' '54' '93' '99' '92']","['92', '93', '14', '99', '92', '49', '94', '44']"
1,"['91' '88' '92' '37' '24' '78' '99' '19' '44' '67' '98' '41' '10' '75'
 '56' '57' '96' '77' '60' '63']","['96', '73', '91', '49', '10', '53', '72', '88']"
1,"['22' '74' '40' '69' '47' '34' '84' '41' '88' '44' '16' '72' '15' '55'
 '77' '36' '53' '90' '38' '97']","['37', '77', '44', '74', '94', '90', '37', '38', '35']"
1,"['38' '19' '97' '75' '42' '22' '71' '11' '16' '30' '12' '59' '74' '33'
 '39' '21' '99' '76' '69' '52']","['22', '21', '38', '37', '59', '52']"
1,"['51' '68' '33' '95' '37' '72' '22' '55' '19' '92' '20' '63' '14' '49'
 '67' '89' '45' '24' '30' '29']","['51', '45', '24', '30', '39', '67', '68']"
1,"['66' '23' '37' '81' '17' '94' '69' '44' '31' '25' '57' '35' '13' '55'
 '61' '93' '65' '50' '87' '53']","['66', '55', '80', '53', '23', '21', '17', '50']"
1,"['13' '67' '54' '33' '56' '78' '45' '25' '42' '99' '98' '40' '30' '57'
 '27' '29' '46' '26' '24' '68']","['67', '44', '46', '26', '68', '33', '36', '98', '40', '90']"
1,"['91' '98' '59' '64' '17' '23' '56' '80' '48' '66' '16' '75' '51' '85'
 '74' '93' '47' '57' '35' '31']","['91', '98', '51', '57', '53']"
1,"['11' '16' '19' '90' '15' '21' '84' '14' '85' '78' '91' '34' '26' '43'
 '86' '52' '65' '99' '67' '64']","['11', '16', '15', '90', '26']"
1,"['79' '43' '39' '61' '74' '27' '37' '44' '81' '56' '93' '10' '15' '83'
 '60' '18' '42' '19' '72' '51']","['79', '19', '53', '67', '57', '16']"
1,"['83' '60' '54' '80' '56' '53' '93' '73' '37' '51' '86' '59' '21' '14'
 '69' '82' '58' '10' '87' '32']","['37', '71', '67', '10', '60', '54']"
1,"['18' '10' '27' '86' '68' '70' '79' '88' '19' '60' '66' '31' '12' '73'
 '33' '99' '96' '72' '48' '20']","['72', '43', '20', '60', '66', '14', '84']"
1,"['48' '20' '90' '49' '13' '93' '11' '76' '41' '27' '14' '95' '47' '52'
 '96' '69' '33' '60' '17' '62']","['96', '17', '41', '42', '67', '76', '97']"
1,"['45' '20' '74' '13' '71' '38' '18' '97' '39' '19' '12' '16' '25' '91'
 '72' '58' '14' '49' '96' '83']","['96', '73', '14', '32', '13', '83']"
1,"['68' '80' '78' '47' '52' '88' '38' '27' '77' '93' '62' '54' '20' '94'
 '99' '69' '61' '65' '50' '14']","['14', '50', '69', '68', '86', '80', '88', '60', '57']"
