wait,correctSequence,userInput
1,"['78' '52' '51' '67' '57' '15' '66' '24' '32' '16' '90' '65' '49' '31'
 '88' '47' '94' '53' '20' '11']","['78', '58', '91', '67', '57', '51']"
1,"['96' '54' '31' '73' '25' '53' '89' '70' '16' '66' '23' '82' '40' '32'
 '37' '71' '94' '17' '33' '95']","['93', '55', '47', '78', '53', '61', '84']"
1,"['47' '50' '25' '67' '98' '12' '77' '10' '61' '34' '15' '69' '37' '97'
 '73' '83' '29' '70' '19' '17']","['67', '51', '17', '97', '79', '55']"
1,"['14' '35' '22' '60' '25' '15' '57' '62' '86' '96' '64' '87' '34' '39'
 '38' '75' '49' '36' '65' '10']","['10', '37', '97', '45', '14', '53']"
1,"['30' '10' '14' '93' '19' '77' '96' '56' '29' '78' '20' '83' '88' '36'
 '70' '45' '67' '66' '37' '60']","['10', '30', '67', '66', '57', '14', '93', '73', '17']"
1,"['40' '51' '25' '72' '57' '10' '66' '33' '91' '16' '46' '79' '80' '28'
 '93' '52' '26' '76' '22' '77']","['22', '77', '67', '66']"
1,"['14' '89' '91' '25' '30' '51' '24' '97' '69' '40' '34' '79' '84' '82'
 '64' '17' '18' '87' '85' '54']","['17', '18', '19', '14']"
1,"['19' '66' '69' '84' '55' '96' '73' '53' '50' '28' '79' '15' '34' '91'
 '18' '82' '12' '16' '35' '57']","['14', '18', '66', '53']"
1,"['12' '99' '61' '50' '17' '95' '11' '20' '10' '98' '16' '41' '46' '72'
 '94' '77' '66' '84' '88' '68']","['14', '12', '99', '50', '88', '10', '20']"
1,"['90' '23' '54' '81' '96' '36' '74' '19' '33' '58' '83' '22' '11' '76'
 '60' '56' '70' '46' '65' '64']","['90', '64', '54', '14']"
1,"['48' '49' '90' '74' '13' '16' '87' '23' '92' '76' '85' '59' '27' '11'
 '46' '25' '14' '38' '78' '69']","['49', '48', '90', '69', '35', '70', '73']"
1,"['62' '38' '92' '89' '37' '66' '51' '80' '76' '28' '78' '54' '46' '96'
 '25' '99' '75' '27' '77' '61']","['99', '25', '26']"
1,"['31' '91' '22' '25' '37' '63' '76' '72' '94' '11' '92' '64' '27' '62'
 '34' '23' '50' '47' '87' '96']","['62', '31', '91', '11', '96', '15']"
1,"['30' '33' '26' '69' '31' '25' '40' '39' '76' '66' '20' '58' '56' '81'
 '36' '47' '92' '19' '74' '42']","['19', '31', '69', '13', '33', '14', '22']"
1,"['34' '36' '92' '29' '99' '40' '72' '58' '64' '95' '54' '12' '81' '65'
 '50' '56' '39' '35' '85' '63']","['92', '63', '68', '30', '25', '96', '56']"
1,"['96' '35' '63' '64' '95' '41' '33' '24' '61' '91' '68' '45' '94' '77'
 '66' '50' '26' '87' '99' '74']","['99', '91', '68', '96', '66', '41', '92']"
1,"['78' '95' '79' '18' '26' '41' '94' '25' '32' '67' '48' '11' '24' '64'
 '85' '90' '89' '50' '86' '81']","['90', '25', '11', '67', '71', '72', '97']"
1,"['93' '84' '10' '16' '55' '41' '22' '43' '50' '86' '98' '81' '65' '28'
 '48' '78' '63' '79' '53' '82']","['80', '90', '91', '25', '87']"
1,"['67' '16' '98' '87' '94' '54' '71' '64' '36' '79' '29' '96' '93' '75'
 '57' '38' '17' '15' '61' '60']","['67', '98', '56', '96', '36', '33', '17', '15', '61']"
1,"['94' '52' '53' '27' '60' '24' '46' '49' '51' '86' '44' '83' '76' '57'
 '95' '23' '78' '41' '66' '93']","['91', '52', '51', '24', '27', '87', '17', '67']"
