0,1,2
1,['K' 'Z' 'X'],['K' 'Z' 'X']
1,['N' 'E' 'M'],['N' 'E' 'M']
1,['U' 'B' 'A'],['U' 'B' 'A']
1,['T' 'H' 'R' 'X'],['T' 'H' 'R' 'X']
1,['R' 'X' 'J' 'V'],['R' 'X' 'J' 'V']
1,['I' 'W' 'L' 'D'],['I' 'W' 'L' 'D']
1,['Q' 'K' 'T' 'S' 'G'],['Q' 'K' 'T' 'S' 'G']
1,['L' 'U' 'H' 'J' 'S'],['L' 'U' 'H' 'J' 'S']
1,['B' 'E' 'U' 'X' 'P'],['B' 'E' 'U' 'X' 'P']
1,['Q' 'V' 'J' 'F' 'H' 'I'],['Q' 'V' 'J' 'F' 'H' 'I']
1,['S' 'Q' 'I' 'I' 'T' 'Z'],['S' 'Q' 'I' 'I' 'T' 'Z']
1,['C' 'L' 'C' 'G' 'Z' 'Q'],['C' 'L' 'C' 'G' 'Z' 'Q']
1,['X' 'Q' 'W' 'P' 'N' 'Y' 'R'],['X' 'Q' 'W' 'P' 'N' 'Y' 'R']
1,['Y' 'Z' 'R' 'I' 'X' 'X' 'S'],['Y' 'Z' 'R' 'I' 'X' 'X' 'S']
1,['R' 'O' 'Z' 'N' 'A' 'E' 'H'],['R' 'O' 'Z' 'N' 'A' 'E' 'H']
1,['A' 'N' 'Q' 'O' 'Y' 'I' 'W' 'H'],['A' 'N' 'Q' 'O' 'Y' 'I' 'W' 'H']
1,['M' 'J' 'A' 'N' 'O' 'C' 'E' 'S'],['M' 'J' 'A' 'N' 'O' 'C' 'E' 'S']
1,['O' 'X' 'X' 'A' 'J' 'I' 'F' 'L'],['O' 'X' 'X' 'A' 'J' 'I' 'F' 'L']
1,['A' 'M' 'P' 'N' 'S' 'Y' 'H' 'X' 'Y'],['A' 'M' 'P' 'N' 'S' 'Y' 'H' 'X' 'Y']
1,['C' 'F' 'R' 'T' 'W' 'K' 'D' 'H' 'O'],['C' 'F' 'R' 'T' 'W' 'K' 'H' 'T' 'O']
1,['P' 'R' 'V' 'E' 'Z' 'D' 'J' 'Z' 'O'],['P' 'R' 'V' 'E' 'Z' 'D' 'J' 'Z' 'O']
1,['T' 'L' 'A' 'S' 'Y' 'J' 'E' 'R' 'J' 'F'],['T' 'L' 'A' 'S' 'Y' 'J' 'E' 'R' 'Y' 'J']
1,['X' 'X' 'S' 'C' 'G' 'Q' 'V' 'P' 'B' 'T'],['X' 'X' 'S' 'C' 'G' 'Q' 'V' 'B' 'T' 'S']
1,['N' 'X' 'P' 'X' 'X' 'D' 'R' 'A' 'O' 'Z'],['N' 'X' 'X' 'P' 'V' 'D' 'R' 'A' 'O' 'Z']
