wait,correctSequence,userInput
1,['VEJ' 'MOR' 'HER' 'FOR' 'GÆS' 'DIG' 'KAT' 'HAN' 'VOR' 'BOG'],['VEJ' 'MOR' 'HER' 'FOR' 'GÆS' 'KAT' 'Ø' 'Ø' 'Ø' 'Ø']
1,['SIG' 'RØD' 'TIL' 'BUS' 'SOL' 'DER' 'STI' 'GED' 'FOR' 'GÆS'],['SIG' 'RØD' 'TIL' 'BUS' 'DER' 'Ø' 'Ø' 'Ø' 'Ø' 'Ø']
1,['HAR' 'FOD' 'SOL' 'FOR' 'KAN' 'FOR' 'HER' 'MAN' 'LYS' 'GED'],['HAR' 'FOD' 'SOL' 'FOR' 'KAN' 'FOR' 'Ø' 'Ø' 'Ø' 'Ø']
1,['DER' 'DET' 'TRÆ' 'GED' 'VIL' 'VIL' 'GUL' 'KAN' 'BIL' 'DER'],['DER' 'DET' 'TRÆ' 'VIL' 'GED' 'GED' 'GUL' 'KAN' 'VIL' 'DER']
1,['LYS' 'FOR' 'ØJE' 'TRÆ' 'KAT' 'TRÆ' 'GÆS' 'GÆS' 'IND' 'IND'],['LYS' 'FOR' 'ØJE' 'TRÆ' 'KAT' 'TRÆ' 'GED' 'GED' 'IND' 'IND']
1,['HER' 'NED' 'TAG' 'TAG' 'VEJ' 'GÆS' 'JEG' 'FOR' 'VIL' 'DER'],['HER' 'NED' 'TAG' 'TAG' 'Ø' 'Ø' 'Ø' 'Ø' 'Ø' 'Ø']
1,['GÆS' 'SOM' 'ØJE' 'BUS' 'HUN' 'DEN' 'ARM' 'SOM' 'TRÆ' 'BLÅ'],['GÆS' 'SOM' 'ØJE' 'BUS' 'FOR' 'HUN' 'ARM' 'FOR' 'TRÆ' 'ØJE']
1,['HUN' 'HER' 'GED' 'SOL' 'BUS' 'SIG' 'VIL' 'HUS' 'FOD' 'BLÅ'],['HUN' 'HER' 'GED' 'SOL' 'BUS' 'SIG' 'GED' 'HER' 'FOD' 'BLÅ']
1,['SOM' 'BLÅ' 'BIL' 'VOR' 'GUL' 'STI' 'HUS' 'STI' 'FOD' 'KAT'],['SOM' 'BLÅ' 'BIL' 'VOR' 'HUS' 'STI' 'Ø' 'Ø' 'Ø' 'Ø']
1,['KAT' 'GUL' 'BOG' 'KAT' 'VOR' 'VEJ' 'VIL' 'VAR' 'BLÅ' 'MUS'],['KAT' 'GED' 'BOG' 'KAT' 'VOR' 'VAR' 'VEJ' 'VIL' 'GUL' 'Ø']
1,['BIL' 'BEN' 'GÆS' 'GUL' 'TIL' 'FOR' 'GUL' 'TRÆ' 'VIL' 'MIG'],['BEN' 'BIL' 'GÆS' 'GUL' 'TIL' 'FOR' 'Ø' 'Ø' 'Ø' 'Ø']
1,['VAR' 'FRA' 'MED' 'JEG' 'GÆS' 'NED' 'LYS' 'SIG' 'LYS' 'VOR'],['VAR' 'FRA' 'MED' 'JEG' 'GÆS' 'VIL' 'LYS' 'FRA' 'LYS' 'FRA']
1,['DØR' 'KAT' 'SOM' 'HAR' 'GUL' 'FAR' 'PEN' 'SIG' 'BEN' 'IND'],['DØR' 'KAT' 'SOM' 'HAR' 'GUL' 'FAR' 'PEN' 'SIG' 'BEN' 'IND']
1,['BEN' 'TAG' 'DER' 'BUS' 'VOR' 'TOP' 'RØD' 'RØD' 'TRÆ' 'BOG'],['BEN' 'TAG' 'DER' 'BUS' 'VOR' 'TOP' 'RØD' 'RØD' 'BUS' 'Ø']
1,['TOP' 'ARM' 'NED' 'FRA' 'HER' 'FOD' 'HER' 'FAR' 'MAN' 'BEN'],['TOP' 'HER' 'NED' 'FOD' 'HER' 'FRA' 'FAR' 'MAN' 'Ø' 'Ø']
1,['DØR' 'VAR' 'RØD' 'HUS' 'MED' 'TIL' 'IND' 'VOR' 'HUS' 'DEN'],['DØR' 'VAR' 'RØD' 'HUS' 'MED' 'TIL' 'IND' 'VOR' 'VIL' 'Ø']
1,['MOR' 'VOR' 'SOL' 'STI' 'BUS' 'MOR' 'BLÅ' 'BLÅ' 'HER' 'SOL'],['MOR' 'VOR' 'SOL' 'STI' 'BUS' 'MOR' 'MOR' 'BLÅ' 'BLÅ' 'Ø']
1,['SOL' 'HUN' 'VEJ' 'TAG' 'NED' 'MIG' 'BUS' 'GÆS' 'JEG' 'SOL'],['SOL' 'HUN' 'VEJ' 'TAG' 'GÆS' 'Ø' 'Ø' 'Ø' 'Ø' 'Ø']
1,['DER' 'MAN' 'HUN' 'MIG' 'MUS' 'HUS' 'MIG' 'VEJ' 'VAR' 'BLÅ'],['DER' 'HUN' 'MUS' 'MIG' 'VEJ' 'DER' 'MIG' 'VEJ' 'BLÅ' 'Ø']
1,['KAT' 'DER' 'VAR' 'TIL' 'RØD' 'BOG' 'MUS' 'VIL' 'MOR' 'BLÅ'],['KAT' 'DER' 'VAR' 'TIL' 'RØD' 'BOG' 'MUS' 'TIL' 'MOR' 'BLÅ']
