wait,correctSequence,userInput
1,['F' 'K' 'D' 'Q' 'I' 'D' 'W' 'M'],['F' 'K' 'D' 'Q' 'W' 'D' 'I' 'M']
1,['F' 'Q' 'S' 'H' 'V' 'M' 'K' 'T'],['F' 'Q' 'S' 'H' 'V' 'M' 'K' 'T']
1,['M' 'S' 'D' 'C' 'H' 'K' 'V' 'G'],['M' 'S' 'D' 'C' 'H' 'K' 'V' 'G']
1,['U' 'O' 'G' 'T' 'M' 'E' 'U' 'L'],['U' 'O' 'G' 'T' 'M' 'U' 'O' 'L']
1,['I' 'F' 'K' 'U' 'T' 'N' 'Y' 'M'],['I' 'F' 'K' 'U' 'T' 'N' 'Y' 'M']
1,['J' 'F' 'B' 'A' 'H' 'N' 'N' 'Z'],['J' 'F' 'B' 'A' 'H' 'N' 'N' 'Z']
1,['K' 'S' 'K' 'K' 'E' 'S' 'Y' 'A'],['K' 'S' 'K' 'K' 'E' 'S' 'Y' 'A']
1,['E' 'W' 'Z' 'G' 'D' 'H' 'F' 'A'],['E' 'W' 'Z' 'G' 'D' 'H' 'F' 'A']
1,['M' 'X' 'E' 'R' 'N' 'F' 'M' 'R'],['E' 'X' 'E' 'R' 'N' 'F' 'M' 'R']
1,['H' 'U' 'C' 'N' 'W' 'Y' 'O' 'P'],['H' 'U' 'C' 'N' 'W' 'Y' 'O' 'P']
1,['O' 'W' 'N' 'R' 'R' 'C' 'J' 'G'],['O' 'W' 'N' 'R' 'R' 'C' 'J' 'G']
1,['K' 'Q' 'R' 'V' 'B' 'D' 'Q' 'Y'],['K' 'Q' 'R' 'V' 'B' 'D' 'K' 'Y']
1,['F' 'P' 'S' 'P' 'O' 'K' 'E' 'E'],['F' 'P' 'S' 'P' 'O' 'K' 'Q' 'E']
1,['A' 'S' 'H' 'O' 'A' 'E' 'P' 'W'],['A' 'S' 'H' 'O' 'A' 'E' 'P' 'W']
1,['N' 'E' 'F' 'I' 'Y' 'U' 'E' 'S'],['N' 'E' 'F' 'I' 'Y' 'U' 'E' 'S']
1,['P' 'A' 'Y' 'I' 'G' 'W' 'N' 'V'],['P' 'A' 'Y' 'I' 'G' 'W' 'N' 'V']
1,['A' 'Z' 'Z' 'M' 'I' 'Z' 'B' 'Z'],['A' 'Z' 'Z' 'M' 'I' 'Z' 'B' 'Z']
1,['I' 'C' 'D' 'H' 'C' 'I' 'Y' 'X'],['I' 'C' 'D' 'H' 'I' 'C' 'Y' 'X']
1,['C' 'L' 'V' 'R' 'Z' 'I' 'J' 'R'],['C' 'L' 'V' 'R' 'Z' 'I' 'J' 'R']
1,['W' 'Z' 'S' 'Z' 'P' 'M' 'F' 'E'],['W' 'Z' 'F' 'Z' 'P' 'Z' 'W' 'E']
