wait,correctSequence,userInput
1,['S' 'R' 'D' 'C' 'Y' 'C' 'W' 'H'],['S' 'R' 'D' 'Y' 'C' 'Y' 'W' 'H']
1,['N' 'R' 'Q' 'W' 'K' 'C' 'F' 'A'],['N' 'R' 'W' 'Q' 'C' 'R' 'F' 'A']
1,['J' 'F' 'H' 'K' 'H' 'S' 'N' 'N'],['J' 'F' 'K' 'H' 'J' 'S' 'N' 'N']
1,['P' 'T' 'T' 'N' 'H' 'C' 'Y' 'Y'],['P' 'T' 'T' 'H' 'N' 'Y' 'Y' 'C']
1,['J' 'L' 'S' 'V' 'O' 'J' 'B' 'Q'],['J' 'S' 'O' 'L' 'V' 'B' 'O' 'J']
1,['F' 'Y' 'X' 'I' 'O' 'X' 'Y' 'O'],['F' 'Y' 'X' 'I' 'O' 'X' 'Y' 'O']
1,['L' 'A' 'F' 'Y' 'G' 'F' 'M' 'G'],['L' 'A' 'F' 'Y' 'G' 'F' 'M' 'Y']
1,['D' 'H' 'H' 'A' 'Z' 'A' 'F' 'R'],['D' 'H' 'H' 'A' 'Z' 'A' 'F' 'H']
1,['N' 'S' 'R' 'B' 'S' 'C' 'P' 'U'],['N' 'S' 'R' 'B' 'N' 'S' 'P' 'U']
1,['V' 'X' 'W' 'N' 'D' 'N' 'E' 'O'],['V' 'X' 'W' 'N' 'D' 'E' 'O' '']
1,['T' 'Q' 'I' 'F' 'R' 'M' 'S' 'I'],['T' 'Q' 'I' 'F' 'R' 'M' 'S' 'I']
1,['A' 'I' 'J' 'N' 'E' 'I' 'R' 'J'],['A' 'I' 'J' 'N' 'E' 'I' 'R' 'J']
1,['C' 'U' 'P' 'V' 'W' 'S' 'N' 'X'],['C' 'U' 'P' 'V' 'W' 'S' 'N' 'U']
1,['L' 'N' 'V' 'P' 'U' 'P' 'I' 'V'],['L' 'N' 'P' 'V' 'N' 'V' 'I' 'P']
1,['P' 'G' 'A' 'N' 'M' 'D' 'V' 'Y'],['P' 'G' 'A' 'N' 'M' 'D' 'V' 'Y']
1,['Z' 'P' 'I' 'Y' 'H' 'V' 'C' 'Q'],['Z' 'P' 'I' 'Y' '' 'V' 'H' '']
1,['J' 'D' 'A' 'T' 'S' 'L' 'D' 'X'],['J' 'D' 'A' 'T' 'S' 'J' 'L' '']
1,['Y' 'E' 'B' 'A' 'P' 'Q' 'H' 'B'],['Y' 'E' 'B' 'A' 'P' 'Q' 'H' 'D']
1,['S' 'E' 'O' 'N' 'K' 'F' 'J' 'I'],['S' 'E' 'O' 'N' 'K' 'F' 'J' 'Y']
1,['C' 'T' 'C' 'M' 'O' 'N' 'D' 'A'],['C' 'T' 'C' 'M' 'N' 'O' 'T' 'A']
