wait,correctSequence,userInput
1,"['77' '64' '84' '25' '20' '39' '36' '94' '96' '93' '30' '15' '34' '18'
 '85' '83' '12' '11' '17' '78']","['11' '12' '17' '18' '96' '64' '25' '30' '31' '83' '56' '57' '58' '62'
 '67' '35' '91' '92' '93' '94']"
1,"['60' '84' '12' '78' '95' '15' '20' '19' '98' '33' '35' '27' '65' '25'
 '46' '37' '90' '81' '53' '89']","['53' '90' '83' '12' '11' '15' '25' '25' '35' '33' '37' '38' '27' '29'
 '63' '45' '82' '84' '83' '85']"
1,"['94' '20' '91' '64' '29' '39' '51' '93' '89' '55' '50' '63' '44' '66'
 '59' '45' '54' '62' '73' '30']","['53' '44' '66' '50' '90' '27' '70' '34' '67' '68' '78' '71' '72' '73'
 '74' '75' '76' '28' '27' '26']"
1,"['32' '14' '64' '86' '53' '25' '91' '65' '24' '39' '29' '71' '82' '85'
 '13' '66' '46' '26' '45' '33']","['13' '14' '25' '24' '33' '30' '35' '39' '21' '27' '26' '89' '45' '46'
 '47' '48' '78' '79' '97' '98']"
1,"['69' '54' '80' '38' '10' '66' '50' '17' '96' '64' '85' '91' '59' '32'
 '14' '34' '74' '15' '49' '46']","['10' '17' '54' '34' '32' '50' '80' '66' '44' '5' '55' '90' '34' '35' '36'
 '37' '64' '69' '30' '84']"
1,"['38' '30' '27' '61' '46' '84' '31' '44' '64' '97' '81' '15' '53' '43'
 '34' '40' '75' '25' '17' '63']","['17' '68' '63' '38' '30' '27' '29' '31' '32' '34' '35' '36' '37' '39'
 '42' '44' '41' '43' '25' '26']"
1,"['32' '66' '57' '11' '37' '65' '76' '25' '83' '97' '15' '90' '22' '95'
 '18' '30' '36' '13' '17' '64']","['13' '17' '50' '30' '22' '25' '15' '18' '21' '24' '32' '38' '45' '66'
 '44' '69' '91' '97' '93' '94']"
1,"['30' '42' '80' '38' '24' '81' '68' '11' '25' '33' '55' '94' '89' '21'
 '92' '83' '72' '36' '65' '10']","['10' '15' '11' '25' '30' '35' '55' '44' '66' '77' '88' '99' '33' '28'
 '24' '29' '27' '14' '15' '16']"
1,"['50' '91' '94' '80' '55' '99' '31' '32' '85' '56' '13' '44' '78' '57'
 '75' '43' '41' '16' '39' '42']","['16' '39' '42' '50' '55' '44' '66' '99' '91' '93' '94' '85' '78' '41'
 '42' '43' '45' '53' '55' '51']"
1,"['66' '39' '30' '45' '22' '92' '20' '12' '18' '91' '94' '41' '58' '23'
 '42' '93' '15' '27' '26' '87']","['87' '12' '18' '20' '21' '22' '23' '24' '25' '30' '38' '48' '29' '51'
 '96' '85' '84' '83' '82' '81']"

