wait,correctSequence,userInput
1,['K' 'U' 'D' 'J' 'S' 'C' 'W' 'C'],['K' 'U' 'D' 'J' 'S' 'C' 'W' 'C']
1,['M' 'H' 'O' 'M' 'Z' 'E' 'F' 'J'],['M' 'H' 'O' 'M' 'Z' 'E' 'F' 'J']
1,['U' 'F' 'Q' 'Q' 'G' 'Z' 'X' 'F'],['U' 'F' 'G' 'Q' 'Q' 'M' 'F' 'Z']
1,['G' 'G' 'Q' 'V' 'B' 'A' 'F' 'U'],['G' 'G' 'Q' 'V' 'B' 'A' 'F' 'U']
1,['Q' 'G' 'V' 'A' 'R' 'Y' 'N' 'A'],['Q' 'G' 'V' 'A' 'R' 'U' 'N' 'A']
1,['F' 'K' 'T' 'W' 'D' 'J' 'V' 'U'],['F' 'K' 'T' 'Q' 'W' 'D' 'V' 'U']
1,['J' 'I' 'I' 'M' 'L' 'R' 'A' 'E'],['J' 'I' 'I' 'M' 'L' 'R' 'E' 'A']
1,['J' 'V' 'G' 'R' 'L' 'Y' 'H' 'P'],['J' 'R' 'G' 'R' 'L' 'Y' 'P' 'H']
1,['H' 'S' 'S' 'M' 'W' 'X' 'R' 'M'],['H' 'S' 'S' 'M' 'W' 'R' 'W' 'W']
1,['H' 'X' 'D' 'Y' 'M' 'C' 'J' 'Y'],['H' 'M' 'X' 'J' 'M' 'J' 'Y' 'M']
