0,1,2
1,['O' 'B' 'C' 'E' 'B' 'D' 'B' 'S'],['O' 'B' 'C' 'D' 'D' 'D' 'B' 'S']
1,['M' 'K' 'G' 'L' 'M' 'A' 'C' 'K'],['M' 'K' 'G' 'L' 'C' 'C' 'C' 'K']
1,['Z' 'U' 'R' 'B' 'T' 'S' 'G' 'F'],['Z' 'U' 'R' 'B' 'T' 'G' 'S' 'F']
1,['I' 'Q' 'N' 'H' 'G' 'Y' 'M' 'K'],['I' 'Q' 'N' 'G' 'H' 'G' 'G' 'K']
1,['W' 'I' 'V' 'C' 'D' 'B' 'D' 'K'],['W' 'I' 'V' 'D' 'D' 'B' 'D' 'F']
1,['W' 'P' 'T' 'B' 'V' 'N' 'G' 'Y'],['W' 'T' 'B' 'P' 'Y' 'Y' 'Y' 'F']
1,['B' 'D' 'T' 'Y' 'J' 'U' 'G' 'F'],['B' 'T' 'D' 'F' 'F' 'U' 'G' 'F']
1,['C' 'R' 'J' 'A' 'A' 'G' 'L' 'D'],['C' 'R' 'J' 'A' 'G' 'G' 'L' 'D']
1,['U' 'O' 'N' 'U' 'N' 'H' 'N' 'F'],['U' 'O' 'N' 'U' 'N' 'F' 'F' 'F']
1,['D' 'X' 'J' 'I' 'X' 'R' 'T' 'N'],['D' 'X' 'J' 'I' 'X' 'R' 'H' 'N']
