wait,correctSequence,userInput
1,"['91' '88' '37' '62' '39' '87' '23' '41' '70' '69' '26' '57' '59' '52'
 '48' '90' '89' '95' '29' '76']",['91' '90' '89' '88' '57' '76' '52' '59' '58' '53']
1,"['80' '13' '54' '60' '51' '11' '29' '95' '20' '79' '47' '66' '40' '10'
 '21' '28' '24' '33' '39' '65']",['80' '60' '20' '40' '10' '24' '28' '29' '33' '66']
1,"['67' '96' '64' '59' '77' '32' '51' '42' '98' '94' '93' '37' '44' '92'
 '63' '85' '15' '54' '47' '71']",['93' '92' '94' '98' '52' '53' '42' '44' '77']
1,"['10' '70' '93' '84' '42' '68' '65' '96' '59' '63' '62' '24' '16' '89'
 '44' '99' '48' '17' '75' '85']",['44' '99' '10' '70' '63' '68' '62' '65']
1,"['18' '87' '40' '42' '36' '56' '61' '95' '33' '62' '67' '54' '71' '50'
 '92' '30' '98' '53' '82' '32']",['33' '32' '53' '98' '87' '30' '92' '50']
1,"['98' '57' '50' '39' '34' '79' '55' '85' '88' '67' '99' '12' '29' '64'
 '51' '16' '24' '54' '56' '71']",['24' '54' '57' '56' '71' '99' '98' '61' '18' '37']
1,"['80' '45' '81' '59' '46' '21' '23' '64' '69' '63' '52' '96' '91' '37'
 '38' '95' '26' '68' '12' '92']",['12' '92' '81' '80' '45' '43' '21' '23' '68']
1,"['10' '40' '96' '62' '79' '70' '87' '42' '74' '35' '21' '15' '53' '57'
 '36' '72' '82' '58' '84' '59']",['10' '40' '70' '15' '35' '59' '84']
1,"['32' '15' '23' '25' '97' '81' '12' '50' '71' '51' '54' '10' '64' '73'
 '49' '82' '84' '11' '39' '62']",['49' '62' '15' '11' '12' '23' '24' '25' '82' '62']
1,"['29' '35' '53' '80' '64' '55' '72' '91' '46' '86' '36' '42' '52' '48'
 '39' '89' '25' '32' '69' '60']",['36' '86' '39' '69' '89' '35' '53' '46' '60' '32']
1,"['65' '13' '56' '81' '70' '47' '58' '42' '26' '73' '49' '12' '94' '35'
 '28' '32' '75' '67' '61' '24']",['65' '81' '70' '58' '26' '42' '47' '61' '75']
1,"['33' '44' '54' '17' '84' '91' '35' '78' '31' '12' '55' '86' '98' '93'
 '88' '69' '39' '40' '25' '20']",['54' '55' '84' '78' '69' '39' '40' '25' '20' '88']
1,"['79' '59' '83' '26' '90' '73' '36' '41' '15' '33' '99' '28' '37' '61'
 '64' '21' '92' '74' '43' '95']",['36' '41' '73' '79' '92' '21' '74' '43' '95']
1,"['29' '16' '87' '11' '50' '97' '31' '19' '25' '82' '52' '64' '24' '69'
 '47' '28' '75' '20' '32' '33']",['11' '19' '25' '47' '69' '75' '33' '32' '28']
1,"['61' '91' '85' '44' '14' '56' '46' '68' '70' '18' '59' '26' '80' '17'
 '98' '43' '13' '35' '24' '93']",['91' '85' '44' '14' '46' '93' '24' '18']
1,"['46' '64' '54' '97' '36' '40' '19' '63' '83' '79' '21' '57' '20' '31'
 '94' '29' '87' '71' '15' '51']",['36' '19' '63' '79' '21' '31' '71' '15' '51']
1,"['32' '50' '20' '77' '66' '88' '42' '48' '96' '17' '14' '73' '47' '39'
 '34' '19' '25' '52' '13' '84']",['32' '50' '20' '42' '48' '96' '17' '47' '19' '25']
1,"['95' '46' '55' '14' '39' '69' '57' '79' '81' '87' '44' '92' '67' '60'
 '24' '85' '12' '58' '40' '98']",['95' '39' '69' '79' '44' '67' '60' '24' '85']
1,"['11' '52' '21' '28' '15' '66' '25' '18' '43' '98' '16' '60' '12' '27'
 '55' '20' '29' '49' '91' '77']",['11' '15' '25' '43' '98' '12' '27' '20' '29']
1,"['68' '84' '63' '26' '51' '31' '96' '74' '13' '49' '71' '91' '59' '20'
 '44' '60' '65' '47' '23' '79']",['68' '26' '96' '13' '71' '20' '44' '47' '65' '63']
