wait,correctSequence,userInput
1,"['99' '17' '56' '13' '64' '27' '93' '67' '88' '22' '40' '41' '81' '47'
 '49' '43' '37' '50' '87' '92']",['99' '17' '56' '13' '64' '27' '93' '67' '41' '81']
1,"['73' '90' '13' '80' '81' '85' '87' '34' '98' '30' '31' '53' '40' '39'
 '63' '41' '35' '56' '14' '10']",['73' '81' '85' '34' '63' '10' '14']
1,"['84' '19' '12' '40' '96' '52' '35' '67' '62' '13' '72' '37' '53' '32'
 '95' '17' '51' '92' '99' '87']",['84' '19' '12' '36' '52' '35' '99']
1,"['53' '41' '61' '99' '50' '63' '92' '68' '90' '56' '27' '64' '97' '66'
 '60' '35' '32' '10' '25' '44']",['41' '61' '99' '50' '10' '44']
1,"['31' '36' '41' '40' '14' '60' '89' '24' '62' '47' '44' '96' '23' '18'
 '59' '45' '25' '91' '13' '64']",['31' '36' '41' '40' '60' '64' '47']
1,"['34' '80' '71' '83' '23' '95' '98' '76' '32' '12' '84' '20' '10' '55'
 '26' '97' '89' '74' '68' '41']",['34' '80' '38' '76' '20' '10']
1,"['23' '19' '49' '18' '69' '28' '80' '61' '66' '85' '71' '41' '57' '90'
 '96' '74' '88' '10' '68' '13']",['23' '19' '13']
1,"['39' '33' '77' '78' '24' '62' '43' '79' '93' '40' '38' '87' '72' '32'
 '25' '49' '36' '54' '89' '94']",['39' '33' '77' '78']
1,"['49' '31' '46' '87' '84' '94' '14' '62' '58' '17' '50' '18' '68' '22'
 '60' '75' '12' '82' '11' '35']",['49' '31' '46' '87' '84' '60']
1,"['65' '35' '94' '11' '22' '97' '81' '47' '15' '57' '16' '78' '70' '96'
 '37' '49' '82' '53' '34' '51']",['65' '35' '11' '22' '81' '15' '70' '51']
1,"['12' '31' '56' '78' '90' '21' '49' '86' '87' '19' '29' '53' '75' '97'
 '14' '36' '58' '80' '22' '44']",['12' '56' '90' '43' '87']
1,"['33' '45' '67' '89' '21' '53' '75' '97' '19' '41' '63' '85' '17' '39'
 '61' '83' '25' '47' '69' '91']",['33' '67' '53' '97' '19']
1,"['10' '24' '30' '47' '50' '64' '70' '83' '91' '23' '26' '37' '41' '56'
 '58' '71' '44' '40' '12' '22']",['10' '30' '50' '70']
1,"['15' '12' '35' '28' '55' '26' '23' '67' '84' '14' '10' '53' '78' '54'
 '98' '43' '48' '94' '13' '75']",['15' '35' '55' '75']
1,"['18' '20' '31' '47' '54' '69' '78' '88' '95' '11' '23' '37' '42' '57'
 '51' '62' '68' '97' '32' '26']",['20' '44' '69' '88']
1,"['11' '17' '33' '37' '55' '41' '77' '53' '78' '12' '25' '34' '43' '56'
 '63' '72' '35' '91' '13' '24']",['11' '33' '55' '77']
1,"['13' '26' '38' '51' '65' '78' '91' '14' '27' '40' '52' '66' '79' '92'
 '15' '28' '41' '54' '67' '80']",['13' '40' '66' '80']
1,"['16' '30' '44' '61' '54' '12' '18' '34' '50' '66' '82' '75' '24' '36'
 '52' '43' '84' '81' '22' '38']",['16' '50' '22' '38']
1,"['19' '32' '59' '74' '99' '21' '41' '61' '81' '22' '42' '62' '82' '23'
 '48' '36' '83' '73' '46' '64']",['19' '59' '99' '64']
1,"['17' '34' '57' '77' '65' '21' '47' '41' '87' '22' '31' '28' '89' '31'
 '56' '42' '91' '33' '56' '73']",['17' '57' '77' '47' '73']
