wait,correctSequence,userInput
1,['Q' 'A' 'T' 'M' 'U' 'R' 'V' 'T'],['Q' 'A' 'T' 'M' 'U' 'R' 'V' 'T']
1,['T' 'B' 'H' 'E' 'I' 'T' 'P' 'J'],['T' 'B' 'H' 'E' 'I' 'T' 'P' 'J']
1,['Q' 'C' 'T' 'B' 'W' 'X' 'J' 'V'],['Q' 'C' 'T' 'B' 'W' 'T' 'J' 'V']
1,['B' 'K' 'E' 'N' 'G' 'M' 'R' 'Q'],['B' 'K' 'E' 'N' 'G' 'M' 'R' 'Q']
1,['D' 'P' 'A' 'X' 'B' 'Q' 'T' 'H'],['D' 'BA' 'A' 'X' 'B' 'B' 'B' 'B']
1,['Y' 'Y' 'C' 'E' 'L' 'K' 'W' 'X'],['Y' 'Y' 'C' 'E' 'L' 'K' 'Y' 'X']
1,['I' 'M' 'L' 'K' 'J' 'S' 'L' 'C'],['I' 'L' 'M' 'K' 'J' 'C' 'L' 'J']
1,['A' 'F' 'F' 'D' 'L' 'H' 'A' 'Z'],['A' 'F' 'F' 'D' 'L' 'Z' 'A' 'H']
1,['O' 'H' 'N' 'Z' 'Z' 'U' 'E' 'E'],['O' 'H' 'N' 'Z' 'Z' 'U' 'E' 'E']
1,['P' 'P' 'I' 'Q' 'M' 'B' 'G' 'N'],['P' 'P' 'U' 'Q' 'M' 'B' 'D' 'D']
