wait,correctSequence,userInput
1,['Q' 'A' 'T' 'M' 'U' 'R' 'V' 'T'],['Q' 'A' 'T' 'M' 'U' 'R' 'V' 'T']
1,['T' 'B' 'H' 'E' 'I' 'T' 'P' 'J'],['T' 'B' 'H' 'E' 'I' 'T' 'P' 'J']
1,['Q' 'C' 'T' 'B' 'W' 'X' 'J' 'V'],['Q' 'C' 'T' 'B' 'W' 'T' 'J' 'V']
1,['B' 'K' 'E' 'N' 'G' 'M' 'R' 'Q'],['B' 'K' 'E' 'N' 'G' 'M' 'R' 'Q']
1,['D' 'P' 'A' 'X' 'B' 'Q' 'T' 'H'],['D' 'B' 'A' 'X' 'B' 'B' 'B' 'B']
1,['Y' 'Y' 'C' 'E' 'L' 'K' 'W' 'X'],['Y' 'Y' 'C' 'E' 'L' 'K' 'Y' 'X']
1,['I' 'M' 'L' 'K' 'J' 'S' 'L' 'C'],['I' 'L' 'M' 'K' 'J' 'C' 'L' 'J']
1,['A' 'F' 'F' 'D' 'L' 'H' 'A' 'Z'],['A' 'F' 'F' 'D' 'L' 'Z' 'A' 'H']
1,['O' 'H' 'N' 'Z' 'Z' 'U' 'E' 'E'],['O' 'H' 'N' 'Z' 'Z' 'U' 'E' 'E']
1,['P' 'P' 'I' 'Q' 'M' 'B' 'G' 'N'],['P' 'P' 'U' 'Q' 'M' 'B' 'D' 'D']
1,['K' 'F' 'H' 'P' 'M' 'T' 'E' 'R'],['K' 'F' 'H' 'P' 'M' 'T' 'E' 'R']
1,['C' 'J' 'O' 'A' 'N' 'B' 'W' 'L'],['C' 'J' 'O' 'A' 'N' 'B' 'M' 'L']
1,['X' 'R' 'S' 'U' 'E' 'K' 'D' 'Y'],['X' 'R' 'S' 'U' 'E' 'K' 'D' 'Y']
1,['L' 'D' 'V' 'J' 'H' 'N' 'Z' 'P'],['L' 'D' 'V' 'J' 'H' 'N' 'Z' 'B']
1,['T' 'E' 'A' 'B' 'R' 'G' 'C' 'M'],['T' 'E' 'A' 'B' 'R' 'G' 'C' 'C']
1,['Y' 'K' 'P' 'L' 'S' 'V' 'I' 'Q'],['Y' 'K' 'P' 'L' 'S' 'V' 'I' 'Q']
1,['R' 'W' 'C' 'X' 'O' 'T' 'F' 'A'],['R' 'W' 'C' 'X' 'O' 'T' 'F' 'A']
1,['Z' 'U' 'B' 'K' 'M' 'D' 'N' 'L'],['Z' 'U' 'B' 'K' 'M' 'B' 'N' 'K']
1,['F' 'E' 'H' 'V' 'J' 'S' 'P' 'O'],['F' 'E' 'H' 'V' 'J' 'J' 'P' 'O']
1,['Q' 'A' 'T' 'G' 'W' 'Y' 'R' 'C'],['Q' 'A' 'T' 'G' 'W' 'Y' 'R' 'C']
