wait,correctSequence,userInput
0.5,"['61' '50' '68' '37' '38' '34' '66' '32' '96' '93' '35' '72' '84' '49'
 '18' '44' '54' '67' '56' '46']",['56' '54' '44' '46' '42' '45' '46' '49']
0.5,"['15' '89' '24' '65' '96' '51' '18' '45' '32' '16' '35' '57' '59' '81'
 '50' '19' '77' '54' '58' '17']",['17' '54' '58' '80' '52' '17']
0.5,"['25' '90' '96' '10' '40' '79' '24' '94' '21' '80' '92' '85' '84' '22'
 '15' '29' '67' '47' '52' '58']",['24' '94' '40' '80' '10' '83']
0.5,"['53' '44' '92' '24' '54' '93' '26' '97' '49' '57' '47' '87' '15' '74'
 '82' '32' '33' '62' '21' '23']",['21' '23' '33' '32' '31' '24' '54']
0.5,"['67' '98' '34' '92' '81' '21' '93' '73' '18' '11' '51' '38' '97' '90'
 '79' '77' '71' '24' '20' '94']",['94' '18' '89' '17' '24' '67' '19' '29' '34']
0.5,"['95' '51' '77' '96' '76' '85' '38' '42' '81' '94' '16' '50' '61' '26'
 '68' '83' '18' '33' '82' '54']",['18' '81' '17' '54' '43' '63' '34']
0.5,"['60' '71' '90' '91' '83' '77' '78' '66' '44' '72' '88' '86' '53' '74'
 '67' '92' '58' '11' '27' '31']",['27' '31' '91' '92' '72' '77' '27' '12' '38']
0.5,"['51' '92' '20' '81' '39' '99' '71' '94' '31' '60' '18' '77' '52' '53'
 '67' '45' '83' '42' '69' '64']",['64' '69' '54' '55' '81' '99' '91' '20']
1.0,"['22' '61' '35' '38' '23' '58' '26' '72' '54' '12' '79' '88' '84' '66'
 '44' '16' '28' '15' '18' '40']",['15' '18' '40' '18' '22' '51' '44' '52']
1.0,"['18' '80' '73' '77' '67' '46' '70' '61' '72' '13' '32' '90' '15' '95'
 '34' '49' '52' '40' '99' '59']",['99' '59' '18' '45' '42' '32' '59' '70' '39' '15']
1.0,"['34' '81' '45' '84' '67' '80' '98' '79' '96' '71' '32' '51' '86' '87'
 '75' '39' '41' '42' '40' '48']",['48' '40' '41' '42' '81' '82' '83' '48' '58' '85' '84' '71']
1.0,"['83' '53' '23' '50' '92' '70' '75' '61' '66' '11' '19' '68' '17' '31'
 '89' '44' '65' '30' '93' '48']",['93' '48' '17' '81' '11' '21' '34' '44']
1.0,"['34' '58' '14' '42' '15' '46' '26' '68' '74' '56' '12' '54' '50' '11'
 '72' '47' '92' '48' '69' '98']",['42' '98' '69' '29' '31' '72' '84' '20']
