wait,correctSequence,userInput
1,"['79' '53' '97' '39' '16' '42' '21' '84' '12' '46' '37' '60' '75' '61'
 '56' '93' '70' '24' '40' '10']",['27' '40' '10' '26' '76' '56' '20']
1,"['15' '48' '91' '16' '61' '78' '57' '71' '80' '73' '99' '12' '92' '31'
 '20' '13' '40' '39' '67' '63']",['67' '63' '16' '31' '20' '61' '78' '81' '13' '66' '76' '73']
1,"['37' '38' '79' '47' '73' '22' '52' '86' '89' '11' '14' '19' '23' '91'
  '35' '57' '55' '78' '32' '54']",['32' '54' '74' '22' '36' '37' '78' '91' '58' '55' '29']
1,"['38' '66' '54' '97' '39' '81' '67' '36' '99' '94' '92' '22' '57' '65'
 '19' '89' '24' '40' '90' '58']",['90' '58' '29' '40' '92' '99' '18' '54' '31' '29']
1,"['32' '40' '70' '68' '42' '59' '19' '23' '97' '24' '76' '22' '96' '98'
 '83' '69' '18' '11' '66' '41']",['66' '41' '11' '62' '96' '69' '81' '31' '40' '60' '10']
1,"['67' '39' '20' '33' '91' '82' '43' '99' '55' '54' '28' '36' '10' '60'
 '11' '92' '97' '17' '53' '93']",['17' '93' '20' '51' '52' '53' '54' '55' '63' '10']
1,"['61' '16' '54' '56' '14' '39' '85' '28' '90' '72' '11' '36' '80' '88'
 '65' '98' '79' '49' '73' '46']",['43' '76' '46' '49' '59' '44' '58' '96']
1,"['73' '70' '87' '39' '91' '57' '52' '55' '90' '67' '80' '32' '14' '83'
 '58' '21' '85' '38' '12' '53']",['12' '55' '52' '53' '32' '58' '18' '24' '30' '32' '34' '67' '83']
1,"['30' '91' '52' '87' '32' '72' '23' '98' '54' '43' '96' '61' '79' '86'
 '58' '48' '90' '85' '10' '36']",['90' '85' '10' '36' '35' '13' '15' '91' '43']
1,"['27' '44' '71' '34' '50' '87' '21' '89' '76' '61' '85' '12' '49' '45'
 '70' '16' '53' '95' '54' '24']",['24' '55' '95' '54' '24' '61' '40' '50' '36']
1,"['92' '38' '71' '40' '12' '77' '33' '68' '90' '21' '84' '53' '56' '46'
 '17' '95' '65' '99' '59' '25']",['25' '88' '59' '33' '84' '99' '22' '12' '60']
1,"['25' '69' '32' '81' '94' '41' '66' '73' '20' '36' '14' '70' '61' '64'
 '90' '85' '28' '17' '55' '39']",['39' '64' '81' '20' '90' '14' '17' '67' '99' '50' '73']
1,"['30' '45' '11' '92' '48' '76' '28' '31' '55' '83' '63' '99' '10' '24'
 '60' '80' '13' '66' '42' '97']",['66' '97' '60' '47' '11' '10' '28' '48' '73']
1,"['41' '63' '87' '12' '79' '99' '54' '90' '45' '38' '21' '93' '72' '34'
 '84' '50' '19' '27' '88' '16']",['12' '54' '90' '45' '84' '93' '18' '79' '16' '41' '27']
1,"['18' '73' '94' '64' '35' '67' '40' '22' '49' '86' '31' '91' '59' '60'
 '55' '98' '14' '81' '28' '75']",['75' '91' '59' '23' '55' '22' '40']
1,"['84' '43' '21' '99' '16' '68' '33' '12' '72' '58' '91' '35' '14' '87'
 '46' '29' '24' '51' '94' '67']",['21' '67' '46' '68' '33' '74' '29' '72' '54' '94' '35']
1,"['74' '95' '32' '89' '57' '23' '41' '36' '99' '64' '13' '85' '43' '18'
 '49' '50' '80' '14' '61' '27']",['23' '18' '49' '64' '36' '85' '13' '52']
1,"['65' '27' '10' '92' '84' '71' '99' '47' '44' '58' '39' '93' '16' '63'
 '22' '90' '54' '30' '19' '66']",['47' '84' '90' '30' '25' '93' '71' '19' '54' '99']
1,"['59' '62' '12' '78' '31' '33' '15' '40' '66' '99' '89' '42' '19' '52'
 '67' '70' '94' '25' '18' '24']",['99' '89' '13' '19' '62' '33' '24']
1,"['97' '56' '82' '11' '45' '75' '69' '36' '88' '48' '95' '40' '23' '27'
 '16' '91' '34' '30' '59' '99']",['99' '95' '56' '40' '48' '83' '69' '16' '82' '59']
