wait,correctSequence,userInput
1,"['86' '80' '26' '45' '91' '95' '77' '62' '92' '87' '55' '99' '25' '39'
 '97' '33' '57' '89' '85' '38']",['99' '96' '85' '31' '36' '51' '38' '44' '77']
1,"['41' '73' '13' '26' '53' '15' '43' '44' '90' '64' '29' '63' '39' '77'
 '37' '82' '36' '62' '95' '84']",['36' '37' '51' '83' '26']
1,"['82' '46' '51' '61' '44' '38' '10' '79' '90' '14' '20' '11' '62' '50'
 '48' '19' '45' '60' '28' '80']",['89' '14' '20' '11' '90' '80' '60' '28' '38' '51']
1,"['57' '15' '76' '79' '34' '44' '16' '25' '98' '72' '22' '84' '33' '41'
 '43' '47' '20' '36' '77' '85']",['84' '47' '31' '33' '41']
1,"['85' '67' '34' '96' '99' '32' '22' '26' '62' '25' '63' '46' '81' '60'
 '33' '36' '18' '13' '48' '73']",['33' '76' '26' '62' '99' '32' '66' '36' '42']
1,"['49' '89' '63' '65' '47' '87' '39' '29' '30' '37' '57' '15' '55' '79'
 '48' '93' '73' '32' '42' '75']",['42' '52' '39' '69' '97' '14' '22' '59']
1,"['75' '74' '16' '88' '92' '19' '23' '47' '37' '62' '82' '81' '58' '90'
 '24' '68' '69' '66' '86' '80']",['82' '81' '37' '47' '86' '68' '96' '69' '42' '43' '16' '18']
1,"['33' '87' '48' '61' '35' '23' '12' '39' '81' '59' '18' '10' '25' '62'
 '42' '40' '41' '82' '53' '34']",['31' '40' '23' '25' '33' '40' '41' '42' '62' '82' '80']
1,"['44' '24' '55' '99' '32' '90' '34' '86' '41' '56' '28' '16' '19' '49'
 '91' '87' '65' '88' '97' '35']",['57' '97' '38' '16' '19' '91' '69' '66' '55']
1,"['16' '97' '53' '85' '81' '76' '19' '42' '64' '63' '44' '33' '48' '12'
 '69' '67' '52' '96' '65' '86']",['96' '69' '44' '33' '56' '16' '19' '12' '64' '66' '73']
1,"['63' '32' '46' '91' '50' '87' '29' '71' '15' '44' '77' '93' '86' '27'
 '56' '81' '69' '35' '88' '20']",['91' '27' '35' '20' '48' '58' '84' '36']
1,"['58' '64' '22' '47' '92' '34' '19' '83' '39' '59' '30' '96' '53' '75'
 '16' '51' '44' '29' '12' '78']",['78' '12' '56' '19' '30' '83' '29' '43' '67']
1,"['43' '28' '65' '82' '33' '59' '91' '24' '47' '75' '13' '68' '17' '39'
 '21' '95' '48' '26' '51' '35']",['28' '75' '13' '96' '43' '59' '39']
1,"['86' '11' '37' '44' '19' '41' '58' '67' '53' '78' '84' '50' '93' '21'
 '35' '29' '90' '27' '33' '64']",['58' '67' '78' '84' '50' '12' '33' '92']
1,"['45' '79' '90' '38' '65' '41' '77' '70' '89' '31' '68' '26' '83' '55'
 '95' '40' '42' '23' '81' '35']",['90' '38' '41' '70' '89' '24' '55' '19' '84' '36']
1,"['21' '14' '52' '60' '17' '87' '43' '33' '45' '91' '25' '56' '97' '50'
 '48' '29' '74' '19' '59' '22']",['22' '45' '91' '25' '56' '88' '48' '25' '14' '42']
1,"['88' '39' '26' '92' '31' '78' '95' '59' '66' '11' '54' '33' '81' '22'
 '57' '68' '45' '35' '12' '40']",['68' '95' '59' '11' '54' '33' '81' '48' '52']
1,"['55' '77' '18' '80' '20' '93' '13' '25' '31' '61' '42' '58' '74' '85'
 '91' '50' '97' '19' '16' '44']",['50' '93' '13' '25' '30' '16']
1,"['30' '99' '67' '41' '73' '81' '32' '48' '35' '64' '86' '57' '95' '19'
 '44' '71' '49' '60' '53' '20']",['67' '81' '32' '48' '64' '14' '60' '53' '90']
1,"['27' '36' '84' '46' '55' '22' '94' '11' '19' '70' '89' '25' '97' '43'
 '63' '56' '33' '40' '59' '31']",['46' '84' '11' '10' '70' '89' '57' '25' '28' '50']
