wait,correctSequence,userInput
1,['det' 'øje' 'sol' 'vor' 'fod' 'der' 'ged' 'fod' 'top' 'den'],['VOR' 'ØJE' 'SOL' 'VOR' 'FOD' 'DER' 'DER' 'DER' 'DER' 'DEN']
1,['som' 'lys' 'her' 'man' 'rød' 'sig' 'som' 'ged' 'blå' 'mor'],['SOM' 'LYS' 'HER' 'MAN' 'RØD' 'SIG' 'SOM' 'LYS' 'GED' 'GED']
1,['far' 'dig' 'fod' 'kan' 'ged' 'man' 'ind' 'tag' 'kat' 'gul'],['FAR' 'DIG' 'FOD' 'SOM' 'MAN' 'GED' 'IND' 'TAG' 'KAT' 'GUL']
1,['gæs' 'ben' 'den' 'øje' 'med' 'øje' 'det' 'mus' 'gæs' 'det'],['GÆS' 'BEN' 'DET' 'ØJE' 'MED' 'ØJE' 'MUS' 'BEN' 'GÆS' 'DET']
1,['træ' 'ned' 'tag' 'der' 'bus' 'pen' 'som' 'gæs' 'sig' 'øje'],['TRÆ' 'NED' 'TAG' 'Ø' 'BUS' 'PEN' 'SOM' 'GÆS' 'ØJE' 'Ø']
1,['den' 'han' 'for' 'ned' 'sti' 'arm' 'arm' 'bil' 'var' 'tag'],['DEN' 'HAN' 'FOR' 'NED' 'STI' 'ARM' 'ARM' 'Ø' 'FOR' 'TAG']
1,['for' 'vej' 'hun' 'ben' 'der' 'vil' 'hus' 'vil' 'som' 'med'],['FOR' 'VEJ' 'SOM' 'HUN' 'BEN' 'VIL' 'VEJ' 'VIL' 'HUS' 'DER']
1,['bog' 'lys' 'dig' 'tag' 'top' 'tag' 'ned' 'sol' 'rød' 'ned'],['BAG' 'HUS' 'VIL' 'TAG' 'TOP' 'TAG' 'NED' 'SOL' 'RØD' 'NED']
1,['and' 'pen' 'for' 'det' 'gul' 'pen' 'var' 'and' 'far' 'for'],['AND' 'PEN' 'FOR' 'DET' 'GUL' 'PEN' 'VAR' 'DET' 'FAR' 'FOR']
1,['træ' 'bus' 'far' 'far' 'pen' 'gul' 'fod' 'med' 'øje' 'ben'],['TRÆ' 'BUS' 'MED' 'FAR' 'FAR' 'GUL' 'FOD' 'MED' 'ØJE' 'BEN']
1,['til' 'sti' 'jeg' 'jeg' 'sol' 'dig' 'hun' 'ned' 'gæs' 'den'],['TIL' 'STI' 'JEG' 'JEG' 'SOL' 'TIL' 'DIG' 'HUN' 'GÆS' 'DEN']
1,['den' 'til' 'øje' 'tag' 'mus' 'hun' 'var' 'gul' 'træ' 'vor'],['DEN' 'TIL' 'ØJE' 'TAG' 'MUS' 'HUN' 'VAR' 'GUL' 'TIL' 'ØJE']
1,['top' 'han' 'ben' 'træ' 'ind' 'hun' 'sol' 'mor' 'ged' 'ged'],['TOP' 'TRÆ' 'HAN' 'IND' 'IND' 'MOR' 'SOL' 'HUN' 'SIG' 'IND']
1,['ged' 'dør' 'ned' 'rød' 'ben' 'bil' 'gæs' 'ben' 'bog' 'der'],['GED' 'DØR' 'NED' 'RØD' 'BEN' 'BIL' 'GÆS' 'DER' 'RØD' 'BEN']
1,['dør' 'øje' 'har' 'gæs' 'til' 'bog' 'den' 'bil' 'har' 'ben'],['DER' 'DEN' 'ØJE' 'GÆS' 'TIL' 'BOR' 'DØR' 'BIL' 'HAR' 'BEN']
1,['ben' 'hun' 'som' 'vil' 'vil' 'hus' 'med' 'der' 'for' 'vej'],['BEN' 'HUN' 'SOM' 'VIL' 'VIL' 'HUS' 'DER' 'VEJ' 'FOR' 'VEJ']
1,['top' 'rød' 'sol' 'ned' 'tag' 'tag' 'ned' 'bog' 'lys' 'dig'],['TOP' 'RØD' 'SOL' 'NED' 'TAG' 'TAG' 'NED' 'BAG' 'HUS' 'VIL']
1,['pen' 'var' 'for' 'pen' 'and' 'for' 'gul' 'det' 'far' 'and'],['PEN' 'VAR' 'FOR' 'PEN' 'AND' 'FOR' 'GUL' 'DET' 'FAR' 'DET']
1,['bus' 'gul' 'far' 'fod' 'træ' 'ben' 'med' 'øje' 'pen' 'far'],['BUS' 'GUL' 'FAR' 'FOD' 'TRÆ' 'BEN' 'MED' 'ØJE' 'FAR' 'MED']
1,['ned' 'gæs' 'jeg' 'dig' 'sti' 'til' 'hun' 'jeg' 'sol' 'den'],['NED' 'GÆS' 'JEG' 'TIL' 'STI' 'TIL' 'HUN' 'JEG' 'SOL' 'DEN']
