wait,correctSequence,userInput
1,['X' 'V' 'G' 'J' 'V' 'J' 'Q' 'U'],['X' 'K' 'U' 'I' 'V' '' '' '']
1,['N' 'K' 'Q' 'S' 'A' 'E' 'G' 'R'],['N' 'A' 'Q' '' '' '' '' 'R']
1,['A' 'T' 'L' 'H' 'R' 'U' 'O' 'L'],['A' 'T' 'L' 'H' 'R' 'U' 'O' 'T']
1,['Z' 'Z' 'U' 'D' 'T' 'P' 'Y' 'Z'],['Z' 'Z' 'U' 'D' 'T' 'P' 'Y' 'Z']
1,['U' 'Z' 'K' 'Y' 'B' 'U' 'E' 'M'],['U' 'Z' 'K' 'Y' 'B' 'U' 'E' 'M']
1,['X' 'V' 'M' 'K' 'V' 'O' 'N' 'V'],['X' 'V' 'M' 'K' 'V' 'O' 'N' 'V']
1,['Y' 'H' 'K' 'J' 'J' 'A' 'V' 'G'],['Y' 'H' 'K' 'J' 'J' 'A' 'K' 'V']
1,['Q' 'A' 'E' 'S' 'D' 'I' 'J' 'T'],['Q' 'A' 'E' 'S' 'D' 'I' 'J' 'T']
1,['G' 'I' 'N' 'L' 'Z' 'A' 'E' 'W'],['G' 'I' 'N' 'L' 'Z' 'A' 'E' 'W']
1,['S' 'A' 'G' 'X' 'O' 'L' 'A' 'N'],['S' 'A' 'G' 'X' 'O' 'L' 'A' 'N']
1,['V' 'Q' 'J' 'X' 'G' 'V' 'U' 'J'],['V' 'U' 'I' 'X' 'U' 'V' 'U' 'I']
1,['K' 'N' 'E' 'Q' 'A' 'G' 'R' 'S'],['A' 'N' 'A' 'Q' 'A' 'E' 'R' 'Z']
1,['L' 'A' 'R' 'L' 'T' 'U' 'O' 'H'],['T' 'A' 'R' 'T' 'T' 'U' 'O' 'H']
1,['Z' 'Y' 'D' 'Z' 'U' 'T' 'Z' 'P'],['Z' 'Y' 'D' 'Z' 'U' 'T' 'Z' 'P']
1,['M' 'K' 'Y' 'Z' 'U' 'U' 'E' 'B'],['M' 'K' 'Y' 'Z' 'U' 'U' 'E' 'B']
1,['K' 'V' 'O' 'M' 'V' 'N' 'V' 'X'],['K' 'V' 'O' 'M' 'V' 'N' 'V' 'X']
1,['A' 'V' 'H' 'G' 'J' 'Y' 'J' 'K'],['A' 'K' 'H' 'V' 'J' 'Y' 'J' 'K']
1,['T' 'E' 'I' 'Q' 'J' 'S' 'D' 'A'],['T' 'E' 'I' 'Q' 'J' 'S' 'D' 'A']
1,['E' 'N' 'W' 'A' 'I' 'L' 'Z' 'G'],['E' 'N' 'W' 'A' 'I' 'L' 'Z' 'G']
1,['O' 'N' 'S' 'L' 'A' 'A' 'X' 'G'],['O' 'N' 'S' 'L' 'A' 'A' 'X' 'G']
