wait,correctSequence,userInput
1,['Q' 'C' 'D' 'Y' 'W' 'F' 'F' 'L'],['Q' 'C' 'F' 'U' 'Ø' 'Ø' 'Ø' 'W']
1,['Q' 'I' 'W' 'W' 'X' 'L' 'I' 'K'],['Q' 'U' 'I' 'W' 'Ø' 'F' 'Ø' 'K']
1,['P' 'J' 'E' 'Z' 'P' 'D' 'U' 'X'],['P' 'J' 'E' 'D' 'E' 'D' 'U' 'M']
1,['M' 'W' 'C' 'E' 'A' 'Q' 'H' 'T'],['M' 'W' 'H' 'T' 'E' 'Q' 'W' 'T']
1,['E' 'X' 'U' 'L' 'G' 'S' 'U' 'T'],['E' 'X' 'U' 'M' 'G' 'S' 'U' 'T']
1,['C' 'B' 'R' 'Q' 'M' 'S' 'Y' 'X'],['R' 'B' 'R' 'Q' 'M' 'S' 'Y' 'C']
1,['W' 'P' 'O' 'Z' 'M' 'C' 'W' 'R'],['W' 'C' 'O' 'T' 'C' 'D' 'W' 'R']
1,['D' 'O' 'I' 'M' 'I' 'J' 'P' 'K'],['D' 'O' 'I' 'M' 'J' 'I' 'P' 'K']
1,['G' 'Q' 'Z' 'O' 'W' 'Y' 'M' 'B'],['G' 'Z' 'Y' 'Q' 'G' 'Z' 'Y' 'M']
1,['Q' 'I' 'X' 'K' 'Y' 'G' 'Z' 'L'],['Q' 'U' 'I' 'Z' 'Y' 'Z' 'G' 'L']
1,['L' 'C' 'D' 'W' 'F' 'Q' 'F' 'Y'],['W' 'C' 'F' 'V' 'E' 'Q' 'F' 'U']
1,['K' 'W' 'X' 'I' 'W' 'Q' 'L' 'I'],['K' 'W' 'X' 'J' 'W' 'Q' 'F' 'U']
1,['X' 'Z' 'P' 'E' 'D' 'J' 'U' 'P'],['M' 'D' 'E' 'E' 'D' 'J' 'U' 'P']
1,['Q' 'H' 'C' 'A' 'M' 'E' 'T' 'W'],['Q' 'W' 'H' 'E' 'M' 'T' 'T' 'W']
1,['S' 'U' 'L' 'T' 'G' 'E' 'X' 'U'],['S' 'U' 'M' 'T' 'G' 'E' 'X' 'U']
1,['M' 'Q' 'R' 'S' 'X' 'Y' 'B' 'C'],['M' 'Q' 'R' 'S' 'C' 'Y' 'B' 'R']
1,['R' 'Z' 'P' 'M' 'C' 'O' 'W' 'W'],['R' 'T' 'C' 'C' 'D' 'O' 'W' 'W']
1,['I' 'D' 'O' 'M' 'K' 'J' 'P' 'I'],['I' 'D' 'O' 'M' 'K' 'I' 'P' 'J']
1,['Q' 'Y' 'M' 'O' 'Z' 'G' 'B' 'W'],['Q' 'Y' 'M' 'Q' 'Z' 'G' 'B' 'Z']
1,['Y' 'I' 'L' 'Q' 'Z' 'X' 'K' 'G'],['Y' 'I' 'L' 'Q' 'Z' 'U' 'Z' 'G']
